tipo_imagem,filtro,tempo_exposicao,caminho_arquivo
XO-2b,B,25.0,data/xo2b.0108.fits
XO-2b,B,25.0,data/xo2b.0202.fits
XO-2b,B,25.0,data/xo2b.0076.fits
XO-2b,B,25.0,data/xo2b.0238.fits
XO-2b,B,25.0,data/xo2b.0206.fits
XO-2b,B,25.0,data/xo2b.0186.fits
XO-2b,B,25.0,data/xo2b.0180.fits
XO-2b,B,25.0,data/xo2b.0036.fits
XO-2b,B,25.0,data/xo2b.0034.fits
XO-2b,B,25.0,data/xo2b.0222.fits
XO-2b,B,25.0,data/xo2b.0120.fits
XO-2b,B,25.0,data/xo2b.0152.fits
XO-2b,B,25.0,data/xo2b.0096.fits
XO-2b,B,25.0,data/xo2b.0216.fits
XO-2b,B,25.0,data/xo2b.0226.fits
XO-2b,B,25.0,data/xo2b.0084.fits
XO-2b,B,25.0,data/xo2b.0164.fits
XO-2b,B,25.0,data/xo2b.0140.fits
XO-2b,B,25.0,data/xo2b.0136.fits
XO-2b,B,25.0,data/xo2b.0224.fits
XO-2b,B,25.0,data/xo2b.0200.fits
XO-2b,B,25.0,data/xo2b.0198.fits
flat,B,5.0,data/flat.B.0008.fits
XO-2b,B,25.0,data/xo2b.0128.fits
XO-2b,B,25.0,data/xo2b.0144.fits
zero,B,0.0,data/bias.B.0007.fits
XO-2b,B,25.0,data/xo2b.0098.fits
XO-2b,B,25.0,data/xo2b.0192.fits
XO-2b,B,25.0,data/xo2b.0004.fits
XO-2b,B,25.0,data/xo2b.0240.fits
XO-2b,B,25.0,data/xo2b.0018.fits
zero,B,0.0,data/bias.B.0003.fits
XO-2b,B,25.0,data/xo2b.0236.fits
XO-2b,B,25.0,data/xo2b.0266.fits
XO-2b,B,25.0,data/xo2b.0054.fits
XO-2b,B,25.0,data/xo2b.0132.fits
XO-2b,B,25.0,data/xo2b.0150.fits
XO-2b,B,25.0,data/xo2b.0178.fits
XO-2b,B,25.0,data/xo2b.0160.fits
XO-2b,B,25.0,data/xo2b.0028.fits
flat,B,5.0,data/flat.B.0006.fits
XO-2b,B,25.0,data/xo2b.0056.fits
XO-2b,B,25.0,data/xo2b.0156.fits
XO-2b,B,25.0,data/xo2b.0014.fits
XO-2b,B,25.0,data/xo2b.0032.fits
XO-2b,B,25.0,data/xo2b.0010.fits
XO-2b,B,25.0,data/xo2b.0012.fits
XO-2b,B,25.0,data/xo2b.0020.fits
XO-2b,B,25.0,data/xo2b.0176.fits
XO-2b,B,25.0,data/xo2b.0118.fits
XO-2b,B,25.0,data/xo2b.0044.fits
zero,B,0.0,data/bias.B.0004.fits
XO-2b,B,25.0,data/xo2b.0094.fits
zero,B,0.0,data/bias.B.0009.fits
XO-2b,B,25.0,data/xo2b.0062.fits
XO-2b,B,25.0,data/xo2b.0002.fits
XO-2b,B,25.0,data/xo2b.0220.fits
zero,B,0.0,data/bias.B.0002.fits
XO-2b,B,25.0,data/xo2b.0260.fits
XO-2b,B,25.0,data/xo2b.0142.fits
flat,B,5.0,data/flat.B.0001.fits
XO-2b,B,25.0,data/xo2b.0262.fits
XO-2b,B,25.0,data/xo2b.0052.fits
XO-2b,B,25.0,data/xo2b.0230.fits
XO-2b,B,25.0,data/xo2b.0166.fits
XO-2b,B,25.0,data/xo2b.0154.fits
flat,B,5.0,data/flat.B.0002.fits
XO-2b,B,25.0,data/xo2b.0106.fits
