tipo_imagem,filtro,tempo_exposicao,caminho_arquivo
flat,B,5.0,data/flat.B.0008.fits
zero,B,0.0,data/bias.B.0007.fits
zero,B,0.0,data/bias.B.0003.fits
flat,B,5.0,data/flat.B.0006.fits
zero,B,0.0,data/bias.B.0004.fits
zero,B,0.0,data/bias.B.0009.fits
XO-2b,B,25.0,data/xo2b.0002.fits
zero,B,0.0,data/bias.B.0002.fits
flat,B,5.0,data/flat.B.0001.fits
flat,B,5.0,data/flat.B.0002.fits
flat,B,5.0,data/flat.B.0005.fits
zero,B,0.0,data/bias.B.0010.fits
flat,B,5.0,data/flat.B.0003.fits
flat,B,5.0,data/flat.B.0007.fits
zero,B,0.0,data/bias.B.0005.fits
flat,B,5.0,data/flat.B.0004.fits
flat,B,5.0,data/flat.B.0009.fits
flat,B,5.0,data/flat.B.0010.fits
zero,B,0.0,data/bias.B.0008.fits
zero,B,0.0,data/bias.B.0006.fits
zero,B,0.0,data/bias.B.0001.fits
